scientific_name,common_name,category,growth_habit,height_mature_ft,shade_tolerance,notes,usda_hardiness_zone,water,catalog_source
Camellia japonica 'Nuccio’s Gems',Nuccio's Gems Camellia (Formal Double White Camellia),flower,evergreen shrub,10.0,partial,"Plant in moist, well-drained, acidic (pH 5.0–6.5), humus-rich soil in partial shade; Nuccio's Gems is one of the most celebrated and award-winning Camellia japonica cultivars ever introduced — developed by Nuccio's Nurseries in Altadena, California, and recognized by the American Camellia Society for its exceptionally formal, regular, perfectly arranged double flowers of pure white with a very faint pink blush at times in cool temperatures. The flowers are consistently formal double in form — every petal is precisely arranged in concentric rings with mathematical regularity, with no stamens visible and no disorder of petals regardless of weather conditions. This consistency of form across different temperatures and conditions is the defining quality of Nuccio's Gems and the characteristic most prized by camellia enthusiasts. The blooms are medium-large (3.5–4.5 inches), long-lasting, and borne prolifically over a mid-season period from January through March in zone 9. The upright-growing shrub develops excellent deep-green, lustrous foliage and a clean, compact form reaching 6–10 feet. Like all C. japonica cultivars in zone 9, plant in dappled shade or morning sun with afternoon shade — the flowers burn in full afternoon sun. Mulch heavily, maintain consistent moisture, and feed with acid-forming azalea fertilizer in March and June. The pure white, perfectly formal flowers of Nuccio's Gems are considered among the finest white camellias available to American gardeners.",7-9,moderate,OpenPlantDB (CC0)
Camellia japonica 'Nuccio's Pearl',Nuccio's Pearl Camellia (Formal Double White-Blushed-Pink Camellia),flower,evergreen shrub,15.0,partial,"Plant in moist, well-drained, acidic, humus-rich soil in partial shade to filtered light. Nuccio's Pearl, from the renowned Nuccio's Nurseries camellia breeding program in California, produces exquisitely formal, tightly overlapping double flowers in soft white delicately blushed with pale pink along the petal edges, a refined color and form prized by camellia show exhibitors and collectors. Like other Camellia japonica cultivars it blooms in winter into early spring on a slow-growing, long-lived evergreen shrub with glossy, dark green foliage that provides year-round structure even when not in flower. Maintain consistent moisture and acidic soil, and protect from harsh afternoon sun and drying wind, which can damage both the foliage and the delicate flowers.",7-9,moderate,OpenPlantDB (CC0)
Quercus texana,"Nuttall Oak (Pin Oak, Red River Oak)",flower,native large deciduous tree,90.0,full,"Plant in moist to wet, slightly acidic, clay or heavy soil in full sun; Nuttall oak (Q. texana) is one of the most underused and underrated of all large southern oaks — a fast-growing (3–4 feet per year when young), majestic bottomland tree that reaches 60–90 feet with excellent scarlet fall color and one of the most important acorn crops of any oak, producing large (3/4 inch) acorns in abundance that are critical food for wood ducks, waterfowl, deer, squirrels, and turkeys. It is uniquely adapted to seasonally flooded, waterlogged clay soils where most trees cannot survive, making it the premier oak for wet, poorly drained sites, wet parking lot islands, and retention basin margins. Excellent fall color (brilliant scarlet) distinguishes it from most southern red-group oaks. Not to be confused with Q. nuttallii (same species, now synonymized as Q. texana).",4-9,high,OpenPlantDB (CC0)
Leptosiphon nuttallii,Nuttall's Linanthus (Prickly Phlox),flower,California native fine-textured subshrub,3.0,full,"Plant in lean, very well-drained, slightly acidic to neutral soil in full sun; Nuttall's linanthus is a California and Baja California native subshrub of the chaparral, producing exceptionally fine-textured, needle-like leaves that give the entire plant a distinctive, soft, feathery texture strongly reminiscent of heather or fine pine foliage — creating year-round textural interest before the plant flowers. In spring and early summer it produces small, tubular, five-petaled flowers in white to pale lavender carried in tight clusters at the branch tips, and on a mature, well-established plant, these flower clusters can be produced in sufficient abundance to create an attractive display against the distinctive, very fine, needle-textured foliage. Native to dry, rocky, chaparral habitats of the California Coast Ranges where it grows among other drought-adapted shrubs, it is well adapted to the Mediterranean-climate conditions of California and Gulf Coast gardens. The fine, needle-like foliage texture provides year-round structural interest in the dry garden that few other plants can match. Outstanding combined with other California native shrubs — ceanothus, manzanita, and salvias — in low-water native plant gardens.",8-10,low,OpenPlantDB (CC0)
Ilex x 'Oakland',Oakland Holly (Compact Hybrid Screening Holly),flower,evergreen holly tree,20.0,partial,"Plant in well-drained, slightly acidic, moderately fertile soil in full sun to partial shade. Oakland Holly is a vigorous, fast-growing hybrid holly bred for a naturally narrow, upright, oval form that provides dense, formal screening in a noticeably smaller footprint than broader hollies such as Nellie R. Stevens, making it useful for property-line screens and narrow side yards where space is limited. The glossy, dark green, lightly spined evergreen foliage holds its color and density year-round with minimal pruning required to maintain a neat shape, and the plant produces small red berries in fall and winter that provide food for songbirds. It is heat- and humidity-tolerant, adapts well to Gulf Coast clay soils once established, and shows good resistance to the pests and diseases that can trouble other broadleaf evergreens. Established plants are reasonably drought-tolerant, though regular water during the first one to two years speeds establishment. Prune, if needed, in late winter or after the main flush of new spring growth to maintain the desired screen height and width.",7-9,moderate,OpenPlantDB (CC0)
Codiaeum variegatum 'Oakleaf',Oakleaf Croton,flower,tropical foliage shrub,6.0,full,"Plant after last frost in rich, well-drained soil in full sun to partial shade, or grow as a houseplant in bright light; Oakleaf croton needs strong light to develop its best red and orange coloring. Deeply lobed leaves with irregular, wavy margins closely resemble an oak leaf in outline, a distinctive leaf shape among crotons that are otherwise typically grown for solid or strap-shaped foliage, colored in a mix of green, gold, orange, and red that intensifies with age and bright light. Its unusual leaf shape adds textural variety to a mixed tropical planting or croton collection where most other selections offer only color variation on similar strap- or oval-shaped leaves. Water when the top inch of soil dries, provide bright light for the fullest color development, and protect from any frost.",10-11,moderate,OpenPlantDB (CC0)
Hydrangea quercifolia,Oakleaf Hydrangea,flower,native flowering shrub,10.0,shade,"Plant in moist, slightly acidic, humus-rich, well-drained soil in partial to full shade; oakleaf hydrangea is the premier four-season native flowering shrub for shade, offering showy white cone-shaped flower panicles in early summer that fade gracefully to dusty pink and tan and persist on the plant, then brilliant orange-red-purple fall foliage, and finally striking cinnamon-brown exfoliating bark on thick, architectural stems all winter. It is native to shaded ravines and woodland slopes in the Southeast. The shrub blooms on old wood — do not prune unless absolutely necessary, and only immediately after bloom. Named cultivars like 'Snow Queen' (large upright blooms), 'Pee Wee' (compact), and 'Ruby Slippers' (pink flowers) are widely available and all perform well in zone 8–9 gardens.",5-9,moderate,OpenPlantDB (CC0)
Hoya obovata,Obovate Hoya (Dollar Plant),flower,shade tropical vine,2.0,shade,"Grow as a houseplant or shaded patio container on a trellis or hanging basket in bright, indirect light in fast-draining, chunky potting mix; obovate hoya stores water in its thick leaves and prefers to dry out somewhat between waterings. Large, rounded, thick, waxy leaves are sometimes lightly speckled with silver and grow closely along vigorous, twining vines that climb or trail readily, eventually producing rounded clusters of small, fragrant, pale pink, star-shaped flowers with deep red-pink centers on mature growth. Native to Southeast Asian forests, it is a fast-growing, easy hoya well suited to a beginner, tolerating average indoor humidity and occasional missed waterings better than some finer-leaved hoya species. Provide a moss pole, trellis, or hanging basket for the twining stems, and avoid moving or pruning off flower spurs (peduncles), since the same spur reblooms repeatedly over the years.",10-11,moderate,OpenPlantDB (CC0)
Nandina domestica 'Obsession',Obsession Nandina (Compact Berry-Producing Nandina),flower,evergreen shrub,3.0,partial,"Plant in well-drained, slightly acidic to neutral, moderately fertile soil in full sun to partial shade; Obsession is a distinctive compact nandina cultivar selected for its exceptionally vivid and sustained red winter foliage color — the leaves turn deep fire-engine red in fall and winter, holding this brilliant color for months, creating one of the most eye-catching winter shrubs in the Gulf South landscape. Unlike Firepower nandina (which turns bright orange-red in full sun and greenish in shade), Obsession maintains its rich red color even in partial shade positions, expanding its landscape use to partially shaded areas where Firepower often reverts to less colorful foliage. Obsession additionally produces clusters of red berries — a quality that Firepower lacks — providing bird food and additional ornamental interest through winter. The compact, upright-mounding habit stays 2–3 feet tall and wide with minimal pruning. Like all nandinas, Obsession is remarkably tough — tolerating clay, drought, heat, humidity, and partial shade that challenge many other ornamental shrubs. Note: Nandina domestica and its berries are toxic to birds and the plant is considered invasive in some Gulf South natural areas (particularly the Southeast) — plant in contained landscape settings rather than adjacent to natural areas, and deadhead flowers if self-seeding becomes a concern.",6-10,low,OpenPlantDB (CC0)
Holodiscus discolor,Oceanspray (Creambush),flower,native shrub,15.0,partial,"Plant container stock in fall as Pacific Northwest rains return, into well-drained soil that ranges from dry to moist, in partial shade to full sun near the coast. Oceanspray is a fast-growing, arching native shrub of forest edges and clearings from British Columbia to California, producing long, cascading plumes of tiny cream-white flowers in early summer that cover the shrub in a foam-like display visible from a distance. The abundant bloom is a magnet for native bees, butterflies, and beneficial wasps, and the dense thickets it forms provide excellent cover and nesting habitat for songbirds. It tolerates a wide range of soils and light conditions once established, making it a versatile hedgerow or restoration planting for Pacific Northwest gardens.",4-9,moderate,OpenPlantDB (CC0)
Rhododendron flammeum,Oconee Azalea,flower,native deciduous shrub,8.0,partial,"Oconee Azalea is a spectacular native deciduous azalea of dry to mesic upland oak-hickory and pine-oak woods of Georgia and South Carolina, producing some of the most vivid orange, red, and scarlet floral displays of any native North American shrub when it blooms in March and April — before or with the emerging leaves — providing a burst of intense color unlike any other native plant in the early spring landscape. The flowers are not fragrant but are intensely colored in shades of flame orange to deep scarlet, and the plant's natural occurrence is restricted to a relatively small area of the inner coastal plain and piedmont of the Carolinas, making it a regionally rare and culturally significant plant of considerable interest to azalea enthusiasts. A moderate-growing shrub that develops a naturally graceful, open, rounded form, Oconee Azalea provides superior wildlife value to most exotic azalea cultivars and supports native bumblebee queens emerging in early spring. Plant in well-drained, strongly acidic, humus-rich soil in partial shade to high, shifting shade; Oconee Azalea will not tolerate wet feet or alkaline soils.",6-9,moderate,OpenPlantDB (CC0)
Fouquieria splendens,Ocotillo,flower,xeriscape native shrub,20.0,full,"Plant bare-root canes or container-grown stock in spring in extremely well-drained, rocky or sandy soil in full sun; ocotillo transplants most reliably as leafless bare-root canes set at the same depth they grew previously and watered in well, then left largely undisturbed. A cluster of tall, thorny, whip-like canes radiates upward from a woody base, remaining bare and gray for most of the year but flushing bright green with small leaves within days of a rain and shedding them again as the soil dries, an unusual drought-response cycle that can repeat several times a year. In late spring, bright orange-red, tubular flower clusters top each cane, providing an important early-season nectar source for hummingbirds migrating through the Sonoran and Chihuahuan Desert region it calls home. It needs essentially no supplemental water once established beyond natural rainfall, and its distinctive, gaunt, spiny silhouette makes it one of the most recognizable and dramatic accent plants for a desert xeriscape.",8-11,low,OpenPlantDB (CC0)
Acer rubrum 'October Glory',October Glory Maple (Late Red Fall-Color Red Maple),flower,shade tree,60.0,full,"Plant in moist, slightly acidic, fertile soil in full sun, and water deeply and regularly through the first two to three seasons to establish a strong root system before the tree can tolerate occasional dry spells. October Glory is one of the most widely planted red maple cultivars, prized for its dependable, brilliant red-to-scarlet fall color that develops later in the season than most red maple selections, extending fall color displays into late October and November in much of its range. Small red flowers appear on bare branches in late winter, an early sign of spring, followed by summer shade from a dense, rounded to oval canopy. It tolerates a wider range of soil moisture than many shade trees, including occasional wet or poorly drained sites, making it a versatile, fast-growing choice for a lawn specimen or street tree. Prune only to remove dead, damaged, or crossing branches, ideally in late fall or winter to avoid excessive sap bleeding.",4-9,moderate,OpenPlantDB (CC0)
Acer rubrum 'October Glory',October Glory Red Maple (Late-Season Brilliant Red Fall Color Maple),flower,landscape tree,50.0,full,"Plant in moist, well-drained, slightly acidic soil in full sun. October Glory is one of the most widely planted red maple cultivars for its dependable, long-lasting, brilliant red fall color that develops later in the season than most maples, extending the fall color display after earlier-turning trees have already gone bare. It grows at a moderate-to-fast rate into a dense, rounded shade tree and tolerates a wider range of soil conditions, including occasional wet sites, than many other shade trees, making it a versatile choice for yards, streets, and parks. Like other red maples it has relatively shallow, fibrous roots that can compete with grass and nearby plantings, so avoid heavy underplanting close to the trunk and keep it well watered during establishment and drought.",5-9,moderate,OpenPlantDB (CC0)
Myrica inodora,Odorless Bayberry (Inodorous Wax Myrtle),flower,native evergreen shrub,20.0,partial,"Plant in moist to wet, acidic, well-drained to occasionally flooded soil in full sun to part shade; Myrica inodora tolerates prolonged wet, acidic, poorly drained conditions that challenge most ornamental shrubs, making it excellent for wet spots, pond margins, and rain gardens. Myrica inodora (odorless bayberry) is a seldom-cultivated native shrub of the Gulf Coastal Plain from Alabama to Florida and Louisiana, distinct from the common Southern wax myrtle (Morella cerifera) in its larger, glossier, darker-green, distinctly odorless leaves (as the name implies — wax myrtle leaves are distinctively aromatic when crushed; Myrica inodora leaves are not). It grows as a large evergreen shrub or small tree with an upright, irregular form, producing small, white, clustered flowers in spring and blue-gray, waxy berries in fall and winter that are consumed by Yellow-rumped Warblers and other berry-eating birds. It is less commonly available in native plant nurseries than M. cerifera but is superior for wet, acidic sites in the Gulf South, where it grows with greater vigor than most other native shrubs.",8-10,high,OpenPlantDB (CC0)
Nyssa ogeche,Ogeechee Tupelo,flower,native swamp tree,60.0,partial,"Ogeechee Tupelo is a native swamp tree of the coastal plain river bottomlands and freshwater swamps of Georgia and northern Florida, most abundant along the Ogeechee, Altamaha, and Suwannee rivers, where it grows in soils that are seasonally to permanently flooded. The large, oblong red drupes — sometimes called Ogeechee limes — are intensely sour and were historically used by Native Americans and early settlers as a substitute for lime in cooking and preserves; they remain a prized wild foraged ingredient in the modern era. The fragrant white flowers are the renowned source of prized tupelo honey, a light-colored, mild-flavored honey with unique fructose chemistry that resists crystallization and commands premium prices at market. Plant in permanently wet, acidic, humus-rich soil in partial shade to full sun; this species is intolerant of drought or alkaline conditions and grows best where roots reach permanent water.",7-9,high,OpenPlantDB (CC0)
Quercus oglethorpensis,Oglethorpe Oak,flower,native deciduous tree,50.0,partial,"Plant acorns immediately after collection in fall in moist, well-drained, slightly acidic to neutral, deep loamy or alluvial soil in partial shade to full sun; Oglethorpe oak is one of the rarest native oaks in North America, known from only a handful of scattered populations in bottomland and ravine forests of northern Georgia and adjacent South Carolina — the total wild population numbers only a few thousand trees. Taxonomically unusual within oaks, it produces very small, rounded acorns on distinctively long stalks, and the leaves are large, dark green, and deeply lobulate with rounded tips. The species was not scientifically described until 1940, found in a ravine near Oglethorpe County, Georgia. Despite its extreme rarity in the wild, it grows vigorously in cultivation and has proven adaptable to a wider range of conditions than its limited natural distribution suggests. A conservation-worthy ornamental that horticultural planting can help save from extinction. Fast-growing and handsome, with good fall color and excellent form.",6-9,moderate,OpenPlantDB (CC0)
Spiraea thunbergii 'Ogon',Ogon Spiraea (Gold Mound Spirea),flower,flowering shrub,5.0,full,"Plant container-grown shrubs in spring in average, well-drained soil in full sun; Ogon spiraea holds its bright gold foliage color best in full sun and greens up somewhat in shade. Fine, narrow, willow-like leaves emerge bright golden-yellow in spring and hold good color through summer before turning shades of orange and copper in fall, providing season-long foliage interest on a graceful, arching shrub that is also covered in small white flowers along bare branches in very early spring, ahead of the emerging gold foliage. Its combination of early spring bloom and vivid, long-lasting golden foliage makes it a valuable multi-season color accent for a mixed shrub border, standing out clearly against green-leaved companions from spring through fall. Prune lightly after flowering to shape, and provide full sun for the brightest, most sustained gold foliage color through the growing season.",4-8,moderate,OpenPlantDB (CC0)
Aesculus glabra,Ohio Buckeye,flower,native flowering tree,40.0,partial,"Plant in moist, deep, well-drained soil in full sun to partial shade; Ohio buckeye is the state tree of Ohio and a striking native specimen tree with large, palmately compound leaves that emerge very early in spring and put on a vivid orange-red fall color display — often the first tree to color and drop leaves in autumn. Upright panicles of yellow-green flowers appear in April and May, attracting early-emerging pollinators, and ripen into the distinctive spiny husks that split to reveal the rich brown nuts that give the tree its name. All parts of the plant — bark, leaves, and especially the nuts — are toxic to humans, livestock, and dogs and should not be planted where children or grazing animals have access. Provide consistent moisture, especially during establishment, as it is poorly adapted to drought and will drop leaves early under heat stress.",3-7,moderate,OpenPlantDB (CC0)
Prunus 'Okame',Okame Flowering Cherry (Early Bright-Pink Heat-Tolerant Cherry),flower,ornamental deciduous tree,25.0,full,"Okame is a hybrid flowering cherry bred from Taiwan cherry and Fuji cherry, prized for opening its single, vivid carmine-pink flowers earlier in spring than most other ornamental cherries and for tolerating heat and humidity noticeably better than Yoshino or Kwanzan, a real advantage in the Gulf South where many flowering cherries struggle and decline. Its smaller, more upright-vase-shaped habit fits a modest yard, and reddish-orange fall foliage color extends the season of interest beyond the early spring bloom. Give it moist, well-drained soil in full sun, prune only right after flowering to limit disease entry through large wounds, and expect a shorter lifespan than longer-lived shade trees, typical of the flowering cherry group.",6-9,moderate,OpenPlantDB (CC0)
Cercis canadensis var. texensis 'Oklahoma',"Oklahoma Redbud (Texas Redbud, Glossy-Leaf Redbud)",flower,deciduous ornamental tree,20.0,full,"Plant in well-drained, slightly acidic to alkaline, moderately fertile soil in full sun; Oklahoma redbud is a Texas-native botanical variety of eastern redbud that is substantially more heat- and drought-tolerant than the standard eastern redbud (Cercis canadensis), making it the superior choice for zone 9 Gulf Coast gardens where summer heat and drought stress often cause the standard species to decline. The cultivar 'Oklahoma' was selected for exceptional dark rose-magenta to rosy-purple flower color — deeper and more saturated than the typical light pink-lavender of species redbud — and for glossy, leathery, rich dark-green leaves that are waxy-looking and more heat-resistant than the soft, matte leaves of the standard species. The flower display appears on bare branches in February–March in zone 9 and is spectacular — the vivid magenta-rose flowers cover the branches in dense clusters before the leaves emerge. The glossy-leaved foliage provides excellent summer interest and greater resistance to summer leaf drop than standard eastern redbud. Oklahoma redbud is smaller and more compact than the eastern species, reaching 12–20 feet tall and wide, making it appropriate for smaller residential landscapes. Superior drought tolerance, heat resistance, and adaptability to alkaline and clay soils make Oklahoma redbud one of the finest ornamental trees for zone 9.",6-9,low,OpenPlantDB (CC0)
Rosa x chinensis 'Old Blush',"Old Blush Rose (Parson's Pink China, One of the Oldest Cultivated Roses)",flower,shrub rose,5.0,full,"Plant in well-drained, average soil in full sun. Old Blush is one of the four founding China roses brought to Europe in the late 1700s and is historically significant as one of the first roses to introduce genuine repeat bloom to Western rose breeding, which until then relied on once-blooming European roses. It produces semi-double, silvery-pink flowers that deepen in color with age and heat, blooming in flushes nearly continuously through the growing season, and remains a tough, easygoing garden rose with excellent heat tolerance and good resistance to black spot. Grown for over two centuries across the Gulf South, it needs little more than an occasional shaping prune and is a good choice for gardeners who want an authentic heirloom with real historical rose-breeding significance.",6-10,low,OpenPlantDB (CC0)
Nerium oleander,Oleander,flower,Mediterranean evergreen flowering shrub,15.0,full,"WARNING: ALL PARTS OF THIS PLANT ARE HIGHLY TOXIC IF INGESTED — site it away from areas where livestock, pets, or small children graze on foliage, and never burn the trimmings, since the smoke carries toxic compounds. Root cuttings in spring or set out container plants after the soil has warmed, in ordinary well-drained soil in full sun; oleander shrugs off heat, drought, salt spray, and poor soil, which is why it lines highway medians and beachfront properties across the Gulf Coast and Southern California. Clusters of single or double flowers in white, pink, red, salmon, or yellow appear almost continuously from late spring through fall on new wood, so prune lightly right after a bloom flush rather than in late winter. Cold snaps below the high teens can kill it to the ground in zone 8, but established plants typically resprout vigorously from the root crown.",8-11,low,OpenPlantDB (CC0)
Rosa 'Ausmixture',Olivia Rose Austin (David Austin English Shrub Rose),flower,David Austin English shrub rose,4.0,full,"Set plants in full sun with at least six hours of direct light and rich, well-drained soil, watering deeply and regularly during the first year to establish a strong root system. Prune back by about a third in late winter and deadhead through the season to keep flushes of bloom coming. Olivia Rose Austin was bred by David Austin and named for his granddaughter, and it has become one of the most widely planted English roses for combining soft, cupped, blush-pink double blooms with a fruity fragrance and notably strong disease resistance compared to many older English rose cultivars, holding clean foliage through humid summers better than most. Its compact, bushy, well-branched habit makes it useful for smaller borders and mixed plantings where a full-sized shrub rose would be too large, and it repeats reliably from late spring through frost with regular deadheading.",5-9,moderate,OpenPlantDB (CC0)
Kalmia latifolia 'Olympic Fire',Olympic Fire Mountain Laurel (Red-Budded Mountain Laurel),flower,native evergreen shrub,10.0,partial,"Site in acidic, well-drained, humus-rich soil in dappled or part shade, mulching with pine bark or pine straw to hold moisture and acidity. Olympic Fire is a mountain laurel selection prized for exceptionally deep, wine-red buds that open to lighter pink flowers, giving a stronger two-tone contrast than the species' typical pink-and-white banding. It shares the species' gnarled, sculptural habit and evergreen foliage, making it a strong specimen or woodland-border shrub. Like all mountain laurel, every part of the plant is toxic if ingested.",4-9,moderate,OpenPlantDB (CC0)
Thunbergia gregorii,Orange Clock Vine (Brilliant Pure-Orange Continuous-Blooming Tropical Vine),flower,tropical vine,10.0,full,"Plant in well-drained, fertile, slightly acidic to neutral soil in full sun; Orange Clock Vine (Thunbergia gregorii) is an African climbing vine producing one of the most brilliantly pure-orange flower displays available in a commonly grown ornamental vine — the 1.5-inch, five-petaled, open-faced flowers are a vivid, saturated orange-to-apricot-orange with no dark center (the 'clock' of the common name refers to the open flower face), blooming in continuous succession from summer through frost. The pure, clean orange color without dark center markings or contrasting color zones creates a uniformly vivid orange effect that is quite different from Black-eyed Susan Vine (T. alata), which has a dark eye, or clock vines with throats of different colors. The fast-growing, twining stems cover trellises, fences, and arbors quickly — an established plant can produce a solid curtain of orange flowers across a 6–8 foot fence section. In zone 9, Orange Clock Vine grows as a warm-season perennial vine that may be killed by hard freezes but returns from the roots in protected positions with mulching; in zone 10-12, it grows as an evergreen perennial vine that blooms most of the year. The pure orange color makes it outstanding in tropical designs combining orange, yellow, and red — particularly effective with yellow allamanda, red mandevilla, and golden angel's trumpet for a warm tropical palette.",9-12,moderate,OpenPlantDB (CC0)
Murraya paniculata,"Orange Jessamine (Mock Orange, Chalcas, China Box)",flower,evergreen shrub,15.0,partial,"Plant in well-drained, fertile soil in full sun to partial shade; Orange Jessamine is one of the most intensely fragrant shrubs available for zone 9 Gulf Coast and Florida gardens, producing multiple flushes of tiny, pure-white, star-shaped flowers throughout the warm months — the fragrance has been described as a combination of orange blossom and jasmine and is one of the strongest and most intoxicating scents in the subtropical plant world. Murraya paniculata is closely related to citrus (family Rutaceae) and is native from South Asia through southern China and into Malaysia; it has been naturalized in South Florida where it occasionally escapes into natural areas. The glossy, dark-green, aromatic foliage is attractive year-round; after the white flowers fade, small oval berries ripen from green to orange-red, adding additional ornamental interest. In zone 9, Orange Jessamine is an excellent fragrant hedge, privacy screen, or specimen shrub reaching 8–15 feet; it can also be maintained as a small tree with lower branch removal. It tolerates light shade well and performs admirably as a foundation shrub under building overhangs or in bright indirect light. Prune immediately after flowering to control size; the plant flowers on new wood. NOTE: Murraya paniculata is a host plant for citrus greening disease (Huanglongbing) and its import is restricted in some states — check local regulations before purchasing.",9-11,moderate,OpenPlantDB (CC0)
Bougainvillea 'Orange King',Orange King Bougainvillea (Warm Copper-Orange Bougainvillea Cultivar),flower,tropical vine,20.0,full,"Plant in well-drained, lean to average soil in full sun; Orange King is a bougainvillea cultivar producing bracts in warm copper-orange to apricot-orange tones — a distinctly different color character from the hot pinks and magentas of Barbara Karst or the scarlet-red of San Diego Red, offering instead a warmer, earthier color tone that reads more tropical and less vivid in the landscape. The orange-copper bracts combine particularly well with terracotta container materials, yellow walls, and companion plants in warm orange, yellow, and bronze tones. Orange King blooms in the same seasonal pattern as other bougainvillea cultivars in zone 9 — most heavily in spring and fall as temperatures moderate, with reduced bloom during peak summer heat and winter cold. The bract color in Orange King tends to fade to salmon-pink and peachy tones as the bracts age on the plant, creating a natural color progression from rich copper-orange at peak freshness to faded salmon-apricot as the bloom matures — a pleasing multi-tone effect during extended bloom periods. The growth rate and vigor are typical of bougainvillea: rapid once established in zone 9 conditions, capable of covering substantial wall or fence areas. The copper-orange color has become popular in Spanish Colonial, Mediterranean, and Southwestern landscape styles where the warm tones harmonize with stucco walls and warm architectural palettes.",9-11,low,OpenPlantDB (CC0)
Acer palmatum 'Orangeola',Orangeola Japanese Maple (Cascading Orange-Red Lace-Leaf Maple),flower,deciduous-tree,12.0,partial,"Plant in part shade in rich, moist, well-drained soil, sheltered from drying wind and the harshest afternoon sun. Orangeola produces one of the most colorful seasonal displays among lace-leaf Japanese maples, with finely dissected leaves emerging brilliant orange-red in spring, deepening to bronze-red through summer, and finishing in a fiery orange-scarlet fall display, on a cascading, semi-weeping form that grows somewhat more upright than fully pendulous cultivars like Tamukeyama. Its strong, layered branching and vivid seasonal color changes make it a standout specimen near a patio or entry where it can be viewed up close through the year. Keep the root zone mulched and evenly moist, and prune only minimally in late winter to remove crossing or dead branches.",5-8,moderate,OpenPlantDB (CC0)
Bauhinia variegata,Orchid Tree,flower,tropical tree,30.0,full,"Start seeds in moist potting mix after soaking 24 hours, or plant container-grown specimens in well-drained, fertile soil in full sun; orchid tree is one of the most spectacular flowering trees in the subtropical world, producing large, pink-to-magenta 5-petaled flowers that truly resemble orchid blossoms from late winter to spring before or as the distinctive two-lobed (camel's foot-shaped) leaves emerge. Trees grow rapidly and begin flowering in 3–5 years, reaching 20–30 feet at maturity. They are relatively cold-hardy compared to other tropical trees, tolerating brief freezes to 22°F once established. Young trees require frost protection in zone 9 until the trunk reaches 4–5 inches in diameter. Prune after bloom to shape and remove any frost-damaged wood.",9-11,moderate,OpenPlantDB (CC0)
Stigmaphyllon ciliatum,Orchid Vine (Butterfly Vine),flower,tropical climbing vine,25.0,partial,"Root cuttings in warm conditions and train on a trellis or fence in full sun to part shade; orchid vine (butterfly vine) is a South American twining vine producing clusters of intricate, butter-yellow flowers with fringed, wavy petals that closely resemble small orchid flowers or the wings of a butterfly, giving the plant both its common names. The flowers are followed by samara-style winged fruits that are ornamental in their own right. Stigmaphyllon ciliatum grows rapidly to 10–25 feet and provides attractive coverage for fences, trellises, pergolas, and arbors with its somewhat heart-shaped, textured leaves and near-constant bloom from summer through fall. The unusual flower form makes it immediately recognizable and a conversation piece in the garden. Related S. littorale (Amazon vine) is more salt-tolerant and suitable for coastal Gulf Coast conditions. An excellent and underused tropical vine for zone 9–11 gardens.",9-11,moderate,OpenPlantDB (CC0)
Fraxinus latifolia,Oregon Ash,flower,native riparian shade tree,65.0,full,"Plant in fall in moist bottomland soils along Pacific Northwest streams, seasonal wetlands, or low-lying yards that stay damp through the wet season, since this is the only ash native west of the Rocky Mountains. Its broad, rounded canopy and compound leaves provide strong seasonal shade, turning yellow before dropping in autumn. It tolerates seasonal flooding and heavy clay soils better than most shade trees, making it valuable for riparian buffer and stormwater plantings. As with other native ashes, monitor for emerald ash borer as the pest continues to spread westward.",5-9,high,OpenPlantDB (CC0)
Mahonia aquifolium,"Oregon Grape Holly (Tall Oregon Grape, Mountain Grape)",flower,evergreen native shrub,6.0,partial,"Plant in well-drained, slightly acidic, moderately fertile soil in part shade to full shade; avoid exposed sites with afternoon sun or harsh winter winds, which cause foliage burn; protect with burlap in zone 5. Mahonia aquifolium is a Pacific Northwest native evergreen shrub with bold, leathery, pinnate leaves composed of 5–9 spiny, holly-like leaflets that are lustrous dark-green in summer and turn attractive bronze-purple to red-purple in fall and winter, especially in sun — a highly ornamental combination with the spring flowers and summer berries. Dense clusters of brilliant-yellow flowers cover the branch tips in March–April before most other spring-flowering shrubs, providing exceptional early-season pollinator value; the flowers are followed by clusters of blue-black, grape-like berries coated in blue-white bloom (powder) that ripen in August and are relished by many birds. The berries are edible (tart, high in vitamin C) and can be used for jelly or syrup; the roots and inner bark yield a yellow dye historically used by Indigenous peoples. The genus Mahonia is now often merged with Berberis by modern taxonomists.",5-9,moderate,OpenPlantDB (CC0)
Quercus garryana,Oregon White Oak (Garry Oak),flower,native deciduous tree,60.0,full,"Plant fresh acorns in fall in well-drained, dry to average, slightly acidic to neutral soil in full sun; Oregon white oak (Garry oak) is the only native oak of the Pacific Northwest north of California, forming open oak savannas and woodlands from British Columbia to California. It is a slow-growing, long-lived, massive tree that can live over 500 years, developing deeply furrowed gray bark and massive, gnarled limbs with age. The oak savannas it creates support extraordinary biodiversity — over 200 species of bees use Oregon white oak, and it supports more invertebrate biodiversity per tree than any other northwest native plant. This ecosystem is now highly threatened, with less than 5% of original oak savanna remaining. The acorns are sweet and palatable, historically processed by indigenous peoples into acorn meal and flour. A landmark native tree for large-scale restoration planting in the Pacific Northwest.",5-9,low,OpenPlantDB (CC0)
